пригорок_NOUN,hillock
состоятельный_ADJ,wealthy
относиться_VERB,relate
готический_ADJ,Gothic
здравствовать_VERB,hello
звонко_ADV,loudly
подписание_NOUN,signing
мамка_NOUN,nurse
карлович_NOUN,Karlovic
паломник_NOUN,pilgrim
рассчитываться_VERB,settle
координата_NOUN,coordinate
буква_NOUN,letter
пила_NOUN,saw
газон_NOUN,lawn
гамма_NOUN,gamma
пустынный_ADJ,deserted
клара_NOUN,Clara
утомленный_ADJ,tired
переговариваться_VERB,talk
замахать_VERB,wave
юнкер_NOUN,cadet
спинка_NOUN,back
беспокоить_VERB,bother
господствующий_ADJ,dominant
переживание_NOUN,experience
околица_NOUN,outskirts
рост_NOUN,height
любовный_ADJ,love
сопоставление_NOUN,juxtaposition
км_NOUN,km
кушетка_NOUN,couch
ослабнуть_VERB,weaken
постучаться_VERB,knock
расправлять_VERB,straighten
алтай_NOUN,Altai
судно_NOUN,vessel
бумажный_ADJ,paper
хомяков_NOUN,hamsters
швеция_NOUN,Sweden
паки_ADV,packs
глобус_NOUN,globe
ежик_NOUN,Hedgehog
коровий_ADJ,bovine
учеба_NOUN,studies
рояль_NOUN,piano
лагерь_NOUN,camp
соответственный_ADJ,corresponding
устройство_NOUN,device
неограниченный_ADJ,unlimited
испанец_NOUN,Hispanic
посягать_VERB,encroach
размещать_VERB,place
язва_NOUN,ulcer
экспедиция_NOUN,expedition
жуков_NOUN,Zhukov
ступенька_NOUN,step
тетрадка_NOUN,notebook
неустанно_ADV,relentlessly
грива_NOUN,mane
безошибочно_ADV,accurately
бойня_NOUN,carnage
седьмой_ADJ,seventh
знакомиться_VERB,meet
бдительность_NOUN,vigilance
возможность_NOUN,possibility
документ_NOUN,document
полагать_VERB,believe
пятка_NOUN,heel
исступление_NOUN,frenzy
горючее_NOUN,fuel
крестьянин_NOUN,peasant
трезвость_NOUN,sobriety
вооруженный_ADJ,armed
тоннель_NOUN,tunnel
созвездие_NOUN,constellation
безработица_NOUN,unemployment
досада_NOUN,annoyance
могучий_ADJ,mighty
флоренция_NOUN,Florence
красноречие_NOUN,eloquence
хлыст_NOUN,whip
управление_NOUN,control
испания_NOUN,Spain
сыпаться_VERB,crumble
последовать_VERB,follow
подле_ADP,beside
попугай_NOUN,parrot
водолаз_NOUN,diver
доминировать_VERB,dominate
бессмысленно_ADV,pointless
правота_NOUN,rightness
безмятежный_ADJ,serene
утверждение_NOUN,statement
отражение_NOUN,reflection
публично_ADV,publicly
строфа_NOUN,stanza
пятнадцать_NUM,fifteen
дружески_ADV,amicably
советник_NOUN,counselor
реорганизация_NOUN,reorganization
мифический_ADJ,mythical
матовый_ADJ,matt
подвал_NOUN,basement
магический_ADJ,magical
равномерный_ADJ,uniform
разлагаться_VERB,decay
забор_NOUN,fence
загнать_VERB,drive
дезертир_NOUN,deserter
равный_ADJ,equal
графский_ADJ,county
путем_ADP,by
убийство_NOUN,murder
высыхать_VERB,dry
запрещаться_VERB,banned
крыша_NOUN,roof
легко_ADV,easily
симонов_NOUN,Simonov
таможня_NOUN,customs
основной_ADJ,basic
кара_NOUN,punishment
семинар_NOUN,seminar
пила_NOUN,saw
пчела_NOUN,bee
трактовка_NOUN,interpretation
силовой_ADJ,power
скучно_ADV,boring
япония_NOUN,Japan
пологий_ADJ,flat
беспрерывно_ADV,incessantly
штирлиц_NOUN,Stirlitz
втроем_ADV,threesome
думский_ADJ,Duma
бывший_ADJ,former
мудрено_ADV,tricky
истрачивать_VERB,spend
нагревать_VERB,heat
серега_NOUN,earring
секунда_NOUN,second
сотник_NOUN,centurion
звено_NOUN,link
